source,raw_candidate,keep,reject_reason,clip_start_s,clip_end_s,duration_s,fallen_start_s,fallen_end_s,upright_start_s,upright_end_s,upright_duration_s,pre_speed_median,pre_speed_max,post_speed_median,post_speed_max
fallAndGetUp1_subject1_whole_body.npz,1,0,upright<1s;post_speed_median>0.5;post_speed_max>0.8,7.420,10.360,2.940,5.680,7.920,9.860,10.460,0.600,0.4054,0.4515,2.3637,2.4821
fallAndGetUp1_subject1_whole_body.npz,2,0,post_speed_median>0.5;post_speed_max>0.8,17.060,18.860,1.800,14.520,17.560,18.360,21.100,2.740,0.2359,0.3806,0.6565,0.8498
fallAndGetUp1_subject1_whole_body.npz,3,1,,23.660,26.000,2.340,21.800,24.160,25.500,27.000,1.500,0.1388,0.2311,0.4221,0.5857
fallAndGetUp1_subject1_whole_body.npz,4,1,,29.620,31.080,1.460,27.680,30.120,30.580,33.060,2.480,0.4951,0.6548,0.2549,0.5275
fallAndGetUp1_subject1_whole_body.npz,5,1,,35.440,37.800,2.360,33.700,35.940,37.300,41.500,4.200,0.6052,0.6703,0.3352,0.5161
fallAndGetUp1_subject1_whole_body.npz,6,0,post_speed_median>0.5,46.500,48.680,2.180,46.380,47.000,48.180,51.060,2.880,0.2994,0.4538,0.6492,0.7290
fallAndGetUp1_subject1_whole_body.npz,7,1,,53.820,56.020,2.200,51.460,54.320,55.520,58.800,3.280,0.3540,0.5986,0.3049,0.5337
fallAndGetUp1_subject1_whole_body.npz,8,1,,61.340,63.860,2.520,59.260,61.840,63.360,66.460,3.100,0.2506,0.3392,0.3297,0.4262
fallAndGetUp1_subject1_whole_body.npz,9,1,,70.700,73.160,2.460,67.580,71.200,72.660,74.840,2.180,0.4376,0.5011,0.3279,0.4736
fallAndGetUp1_subject1_whole_body.npz,10,1,,77.780,79.640,1.860,75.560,78.280,79.140,84.780,5.640,0.4982,0.6416,0.4568,0.7394
fallAndGetUp1_subject1_whole_body.npz,11,0,post_speed_median>0.5;post_speed_max>0.8,89.120,90.740,1.620,85.500,89.620,90.240,94.260,4.020,0.4817,0.6341,2.0000,2.1311
fallAndGetUp1_subject1_whole_body.npz,12,0,pre_speed_max>0.7;post_speed_median>0.5;post_speed_max>0.8,98.340,100.240,1.900,95.080,98.840,99.740,105.360,5.620,0.6820,0.7349,2.1674,2.2480
fallAndGetUp1_subject1_whole_body.npz,13,0,post_speed_median>0.5;post_speed_max>0.8,108.300,110.440,2.140,105.960,108.800,109.940,113.360,3.420,0.1037,0.2470,2.0167,2.3250
fallAndGetUp1_subject1_whole_body.npz,14,0,post_speed_median>0.5;post_speed_max>0.8,116.500,118.240,1.740,114.100,117.000,117.740,124.440,6.700,0.0823,0.1810,2.3653,2.4793
fallAndGetUp1_subject1_whole_body.npz,15,0,post_speed_median>0.5;post_speed_max>0.8,128.360,130.900,2.540,125.220,128.860,130.400,135.880,5.480,0.1324,0.2308,2.0907,2.1792
fallAndGetUp1_subject1_whole_body.npz,16,0,post_speed_median>0.5;post_speed_max>0.8,143.500,145.540,2.040,136.640,144.000,145.040,149.780,4.740,0.1741,0.3597,2.0317,2.1673
fallAndGetUp1_subject1_whole_body.npz,17,0,post_speed_median>0.5;post_speed_max>0.8,152.200,154.060,1.860,150.900,152.700,153.560,161.440,7.880,0.0773,0.3358,2.1543,2.3013
fallAndGetUp1_subject1_whole_body.npz,18,1,,162.560,165.140,2.580,162.060,163.060,164.640,168.160,3.520,0.1055,0.1619,0.3158,0.3356
