source,raw_candidate,keep,reject_reason,clip_start_s,clip_end_s,duration_s,fallen_start_s,fallen_end_s,upright_start_s,upright_end_s,upright_duration_s,pre_speed_median,pre_speed_max,post_speed_median,post_speed_max
fallAndGetUp1_subject1_whole_body.npz,1,0,upright<1.5s;post_speed_median>0.5;post_speed_max>0.8,7.420,10.460,3.040,5.680,7.920,9.860,10.460,0.600,0.4054,0.4515,2.3637,2.4821
fallAndGetUp1_subject1_whole_body.npz,2,0,post_speed_median>0.5;post_speed_max>0.8,17.060,19.120,2.060,14.520,17.560,18.360,21.100,2.740,0.2359,0.3806,0.6565,0.8498
fallAndGetUp1_subject1_whole_body.npz,3,1,,23.660,26.260,2.600,21.800,24.160,25.500,27.000,1.500,0.1388,0.2311,0.4221,0.5857
fallAndGetUp1_subject1_whole_body.npz,4,1,,29.620,31.340,1.720,27.680,30.120,30.580,33.060,2.480,0.4951,0.6548,0.2549,0.5275
fallAndGetUp1_subject1_whole_body.npz,5,1,,35.440,38.060,2.620,33.700,35.940,37.300,41.500,4.200,0.6052,0.6703,0.3352,0.5161
fallAndGetUp1_subject1_whole_body.npz,6,0,post_speed_median>0.5,46.500,48.940,2.440,46.380,47.000,48.180,51.060,2.880,0.2994,0.4538,0.6492,0.7290
fallAndGetUp1_subject1_whole_body.npz,7,1,,53.820,56.280,2.460,51.460,54.320,55.520,58.800,3.280,0.3540,0.5986,0.3049,0.5337
fallAndGetUp1_subject1_whole_body.npz,8,1,,61.340,64.120,2.780,59.260,61.840,63.360,66.460,3.100,0.2506,0.3392,0.3297,0.4262
fallAndGetUp1_subject1_whole_body.npz,9,1,,70.700,73.420,2.720,67.580,71.200,72.660,74.840,2.180,0.4376,0.5011,0.3279,0.4736
fallAndGetUp1_subject1_whole_body.npz,10,1,,77.780,79.900,2.120,75.560,78.280,79.140,84.780,5.640,0.4982,0.6416,0.4568,0.7394
fallAndGetUp1_subject1_whole_body.npz,11,0,post_speed_median>0.5;post_speed_max>0.8,89.120,91.000,1.880,85.500,89.620,90.240,94.260,4.020,0.4817,0.6341,2.0000,2.1311
fallAndGetUp1_subject1_whole_body.npz,12,0,pre_speed_max>0.7;post_speed_median>0.5;post_speed_max>0.8,98.340,100.500,2.160,95.080,98.840,99.740,105.360,5.620,0.6820,0.7349,2.1674,2.2480
fallAndGetUp1_subject1_whole_body.npz,13,0,post_speed_median>0.5;post_speed_max>0.8,108.300,110.700,2.400,105.960,108.800,109.940,113.360,3.420,0.1037,0.2470,2.0167,2.3250
fallAndGetUp1_subject1_whole_body.npz,14,0,post_speed_median>0.5;post_speed_max>0.8,116.500,118.500,2.000,114.100,117.000,117.740,124.440,6.700,0.0823,0.1810,2.3653,2.4793
fallAndGetUp1_subject1_whole_body.npz,15,0,post_speed_median>0.5;post_speed_max>0.8,128.360,131.160,2.800,125.220,128.860,130.400,135.880,5.480,0.1324,0.2308,2.0907,2.1792
fallAndGetUp1_subject1_whole_body.npz,16,0,post_speed_median>0.5;post_speed_max>0.8,143.500,145.800,2.300,136.640,144.000,145.040,149.780,4.740,0.1741,0.3597,2.0317,2.1673
fallAndGetUp1_subject1_whole_body.npz,17,0,post_speed_median>0.5;post_speed_max>0.8,152.200,154.320,2.120,150.900,152.700,153.560,161.440,7.880,0.0773,0.3358,2.1543,2.3013
fallAndGetUp1_subject1_whole_body.npz,18,1,,162.560,165.400,2.840,162.060,163.060,164.640,168.160,3.520,0.1055,0.1619,0.3158,0.3356
fallAndGetUp2_subject2_whole_body.npz,1,1,,14.540,17.720,3.180,7.380,15.040,16.960,20.040,3.080,0.3604,0.3942,0.1471,0.2767
fallAndGetUp2_subject2_whole_body.npz,2,1,,29.320,34.180,4.860,24.300,29.820,33.420,35.440,2.020,0.2856,0.2991,0.1124,0.2311
fallAndGetUp2_subject2_whole_body.npz,3,1,,41.980,45.280,3.300,37.260,42.480,44.520,46.660,2.140,0.2522,0.4786,0.1938,0.3116
fallAndGetUp2_subject2_whole_body.npz,4,1,,50.600,52.900,2.300,47.540,51.100,52.140,55.860,3.720,0.2776,0.3254,0.1829,0.2164
fallAndGetUp2_subject2_whole_body.npz,5,0,post_speed_median>0.5;post_speed_max>0.8,59.640,62.800,3.160,57.380,60.140,62.040,66.160,4.120,0.1188,0.1551,0.6305,0.8077
fallAndGetUp2_subject2_whole_body.npz,6,0,post_speed_median>0.5;post_speed_max>0.8,69.740,72.780,3.040,67.880,70.240,72.020,76.380,4.360,0.1628,0.3117,0.7857,0.8569
fallAndGetUp2_subject2_whole_body.npz,7,0,post_speed_median>0.5,86.980,89.940,2.960,77.460,87.480,89.180,92.060,2.880,0.2874,0.3041,0.6826,0.7382
fallAndGetUp2_subject2_whole_body.npz,8,0,post_speed_max>0.8,115.360,118.860,3.500,110.720,115.860,118.100,121.800,3.700,0.0787,0.2350,0.4527,1.0801
fallAndGetUp2_subject2_whole_body.npz,9,0,upright<1.5s,126.640,129.720,3.080,124.020,127.140,129.160,129.720,0.560,0.0538,0.1025,0.3156,0.7652
fallAndGetUp2_subject2_whole_body.npz,10,0,upright<1.5s;post_speed_median>0.5;post_speed_max>0.8,133.980,136.440,2.460,131.180,134.480,135.680,136.920,1.240,0.1837,0.2260,3.1351,3.5051
fallAndGetUp2_subject2_whole_body.npz,11,0,upright<1.5s;post_speed_median>0.5;post_speed_max>0.8,141.300,143.800,2.500,138.580,141.800,143.060,143.800,0.740,0.3760,0.5002,3.2743,3.6261
fallAndGetUp2_subject2_whole_body.npz,12,0,post_speed_median>0.5;post_speed_max>0.8,152.080,154.960,2.880,150.740,152.580,154.200,156.220,2.020,0.0487,0.2329,2.9604,3.2731
fallAndGetUp2_subject2_whole_body.npz,13,0,post_speed_median>0.5;post_speed_max>0.8,157.960,160.880,2.920,157.860,158.460,160.120,163.860,3.740,0.4604,0.6125,2.6910,2.9072
fallAndGetUp1_subject4_whole_body.npz,1,0,post_speed_median>0.5,24.540,28.520,3.980,19.000,25.040,27.760,30.400,2.640,0.1032,0.4843,0.5186,0.7674
fallAndGetUp1_subject4_whole_body.npz,2,0,pre_speed_max>0.7;post_speed_median>0.5;post_speed_max>0.8,50.040,53.800,3.760,44.520,50.540,53.040,55.980,2.940,0.1536,0.8713,1.4758,1.6489
fallAndGetUp1_subject4_whole_body.npz,3,0,upright<1.5s,59.300,62.920,3.620,56.820,59.800,62.160,63.520,1.360,0.5594,0.6618,0.3855,0.6018
fallAndGetUp1_subject4_whole_body.npz,4,1,,67.880,72.020,4.140,64.460,68.380,71.260,73.800,2.540,0.3997,0.6138,0.1558,0.3692
fallAndGetUp1_subject4_whole_body.npz,5,0,pre_speed_max>0.7;post_speed_median>0.5;post_speed_max>0.8,79.320,81.480,2.160,75.740,79.820,80.720,84.220,3.500,0.1585,0.8032,1.4357,1.5349
fallAndGetUp1_subject4_whole_body.npz,6,0,post_speed_median>0.5;post_speed_max>0.8,86.960,91.740,4.780,85.640,87.460,90.980,96.080,5.100,0.1088,0.1462,0.7146,0.9579
fallAndGetUp1_subject4_whole_body.npz,7,0,post_speed_median>0.5;post_speed_max>0.8,101.320,103.320,2.000,101.160,101.820,102.560,106.560,4.000,0.3912,0.5327,0.7891,0.8721
fallAndGetUp1_subject4_whole_body.npz,8,0,post_speed_median>0.5;post_speed_max>0.8,111.920,113.700,1.780,111.880,112.420,112.940,117.120,4.180,0.1621,0.2411,1.1968,1.5645
fallAndGetUp1_subject4_whole_body.npz,9,1,,124.120,126.520,2.400,118.420,124.620,125.760,129.400,3.640,0.4124,0.6556,0.1977,0.2471
fallAndGetUp1_subject4_whole_body.npz,10,0,pre_speed_max>0.7,140.680,143.340,2.660,130.460,141.180,142.580,147.460,4.880,0.3349,0.7313,0.3101,0.3592
fallAndGetUp1_subject4_whole_body.npz,11,1,,153.180,155.820,2.640,150.400,153.680,155.060,158.360,3.300,0.2528,0.3255,0.2820,0.4085
fallAndGetUp1_subject4_whole_body.npz,12,0,post_speed_median>0.5;post_speed_max>0.8,161.320,163.060,1.740,159.260,161.820,162.300,168.160,5.860,0.1243,0.4637,0.7330,1.2033
